Topic,Description,Year
Machine Learning,Machine learning is a subset of AI where algorithms learn from data to make predictions or decisions.,1959
Deep Learning,Deep learning is a specialized form of machine learning that uses neural networks to simulate human decision-making.,2012
Natural Language Processing,"NLP is the branch of AI that focuses on enabling machines to understand, interpret, and respond to human languages.",1960
Computer Vision,Computer vision is a field of AI that trains computers to interpret and make decisions based on visual data.,1963
Reinforcement Learning,Reinforcement learning is an area of machine learning where agents learn by interacting with an environment to achieve goals.,1980
Generative AI,"Generative AI creates new content, such as text, images, or music, using pre-trained models like GPT or Stable Diffusion.",2020
Ethics in AI,"Ethics in AI focuses on addressing fairness, accountability, transparency, and bias in AI systems.",2016
AI in Healthcare,"AI is used in healthcare for diagnosis, drug discovery, and personalized treatment plans.",2015
AI in Robotics,AI enhances robotics by enabling autonomy and decision-making in machines.,2000
AI and Society,"AI impacts society through automation, workforce changes, and ethical considerations.",2005
